Datum,Uhrzeit,Geschlecht,Alter,OS,Smartphone Nutzung,Smartphone Nutzungserfahrung,Zeit gesamt,Richtig,Falsch,Ishihara 42,Ishihara 3,Ishihara Linien,Ishihara Dauer,Z1,R1,Z2,R2,Z3,R3,Z4,R4,Z5,R5,Z6,R6,Z7,R7,Z8,R8,Z9,R9,Z10,R10,Z11,R11,Z12,R12,Z13,R13,Z14,R14,Z15,R15,Z16,R16,Z17,R17,Z18,R18,Z19,R19,Z20,R20,Z21,R21,Z22,R22,Z23,R23,Z24,R24,Z25,R25,Z26,R26,Z27,R27,Z28,R28,Z29,R29,Z30,R30,Z31,R31,Z32,R32,Z33,R33,Z34,R34,Z35,R35,Z36,R36,Z37,R37,Z38,R38,Z39,R39,Z40,R40,Z41,R41,Z42,R42,Z43,R43,Z44,R44,Z45,R45,Z46,R46,Z47,R47,Z48,R48,Z49,R49,Z50,R50,Z51,R51,Z52,R52,Z53,R53,Z54,R54,Z55,R55,Z56,R56,Z57,R57,Z58,R58,Z59,R59,Z60,R60,Z61,R61,Z62,R62,Z63,R63,Z64,R64,Z65,R65,Z66,R66,Z67,R67,Z68,R68,Z69,R69,Z70,R70,Z71,R71,Z72,R72,Z73,R73,Z74,R74,Z75,R75,Z76,R76,Z77,R77,Z78,R78,Z79,R79,Z80,R80,Z81,R81,Z82,R82,Z83,R83,Z84,R84,Z85,R85,Z86,R86,Z87,R87,Z88,R88,Z89,R89,Z90,R90,Z91,R91,Z92,R92,Z93,R93,Z94,R94,Z95,R95,Z96,R96,Z97,R97,Z98,R98,Z99,R99,Z100,R100
07.07.2021,11:53,f,31-40,Android,mehrmals täglich,sicher,0:03:41.968000,99,1,42,3,keine,0:00:31.544000,2326,8,2518,2,1988,3,2673,8,2539,3,1912,8,3682,8,2548,3,2887,1,1509,1,1925,8,2542,3,2517,3,2536,1,2002,2,1965,3,1888,8,2231,8,1785,3,1990,1,2029,8,2811,2,1727,3,2033,1,2649,8,3134,8,3583,2,1696,1,1484,8,2764,2,2475,1,1534,8,2287,8,2527,1,1825,3,1625,4,1544,1,1691,2,1844,1,1928,2,3811,3,1843,8,1793,8,1551,8,1677,8,2114,2,2075,3,2875,8,2403,8,1724,1,2610,3,2185,8,2630,8,2663,1,1489,8,1619,8,2207,3,2012,8,1832,3,2376,2,1509,2,1903,1,1651,3,1924,2,1743,3,3419,2,2354,8,1543,1,4039,8,1753,3,3118,3,2189,2,1744,3,1524,2,2295,2,3684,8,1798,1,2302,3,3886,8,2186,2,1827,1,1835,1,1705,1,1852,8,1987,1,1616,1,1936,2,3713,3,2743,3,1894,1,2235,8,1667,1,3218,2,2140,3,2058,3,1517,1,2485,3,1928,8,2095,3,2169,1
07.07.2021,12:10,m,21-30,Android,mehrmals täglich,sehr sicher,0:03:16.754000,99,1,42,3,keine,0:00:36.813000,2006,3,3171,3,1932,8,1908,3,1647,1,2173,3,1607,1,2621,2,2238,3,1882,1,1334,1,1586,1,2691,8,3172,3,1620,2,1924,8,1859,2,1950,3,2985,8,1760,8,2590,2,2336,8,2232,2,2099,2,2138,2,1636,3,1888,2,2460,8,1776,2,1770,3,1939,3,1849,3,1653,3,1728,8,2004,3,3268,2,1725,3,2120,1,1494,1,1518,8,2134,3,2523,2,2304,2,1498,1,2454,8,3429,2,2221,3,1637,3,1356,3,2233,8,1407,2,1335,1,2716,3,1599,2,2534,8,1975,2,2099,1,2010,1,2242,8,1614,2,2960,8,2223,3,1594,3,1790,2,1990,1,1706,8,1921,2,1273,2,1410,3,2170,1,1357,3,1892,8,1448,7,3942,8,4740,2,1922,1,2576,8,1206,1,1829,2,1351,1,1177,8,1765,3,1379,3,1732,2,1456,2,1654,8,1554,8,1535,2,1280,1,1377,1,1646,2,1472,3,1705,8,1658,2,1671,3,1581,1,1692,8,1931,3,1474,1,1853,1
07.07.2021,12:10,m,21-30,Android,mehrmals täglich,sehr sicher,0:03:29.879000,95,5,42,3,keine,0:00:27.228000,4767,2,3204,8,2546,1,2625,2,3146,2,2078,8,1710,1,2042,2,3332,7,2929,1,2080,3,2705,3,1432,3,2043,3,1897,3,1556,2,2131,8,1662,2,1403,7,1907,2,1486,2,1520,3,1413,1,1176,1,1682,2,2371,4,1414,2,1522,1,1448,1,1822,4,4567,2,2502,2,3147,2,2813,2,1305,2,1277,2,1520,1,1895,3,1513,3,1801,3,1966,2,2192,3,1942,3,1433,3,1850,3,1344,2,2581,2,4652,1,2522,3,3378,2,2257,8,2180,2,2002,8,1478,3,1236,1,1770,2,1642,1,1856,3,2014,3,1330,2,2481,2,1407,8,1784,3,2317,2,2299,2,1551,1,1305,1,1516,2,2645,1,4190,3,1932,3,1433,3,1671,8,1267,1,1553,2,2894,8,1981,8,1314,1,1291,3,1404,3,2163,3,1520,8,1932,2,1699,2,2210,8,2700,3,1911,3,1225,3,3874,2,3636,8,2518,3,1311,8,2544,1,4301,3,1601,3,2898,8,2001,2,1584,2,1355,1,1340,8
07.07.2021,12:26,f,11-20,iOS,mehrmals täglich,sehr sicher,0:04:29.722000,96,4,42,3,keine,0:00:41.209000,3641,2,2608,3,2278,1,2099,8,2821,2,3145,8,2897,2,2183,1,5817,1,2440,3,3233,8,2879,8,2683,8,4513,3,2158,2,3068,8,2212,1,1686,1,2128,2,2188,3,3341,8,2957,3,3327,1,1574,4,4998,8,2429,8,2914,2,1958,3,2383,1,1932,3,2697,2,1922,1,2066,8,2691,8,2508,2,2012,3,3455,1,3166,8,2416,8,2500,2,2012,1,2513,2,2649,1,2323,8,2152,3,1900,3,2549,1,2329,2,2604,2,1883,3,1860,2,3524,8,2131,2,2802,2,2110,2,1889,1,1728,5,2705,1,2266,1,2784,8,6492,1,1775,3,2225,8,2308,3,1666,2,2166,2,2093,2,2374,3,2283,1,2366,1,1962,8,3138,3,2784,3,3116,2,2550,2,1780,8,2269,3,2793,3,3592,1,2610,3,1914,5,2608,1,1732,3,2161,3,2222,8,6498,2,2043,3,4168,3,2923,1,3093,3,3141,2,2666,2,2708,8,2753,3,2155,2,4949,3,2642,8,3308,1,4194,8,2855,8
07.07.2021,12:31,f,31-40,Android,mehrmals täglich,sicher,0:03:55.776000,100,0,42,3,keine,0:00:23.879000,2816,1,2828,2,3109,3,3015,3,2528,2,3743,8,1832,1,2591,2,3273,3,1757,1,1579,1,2972,2,4257,2,2222,8,2254,8,2757,2,3515,8,3956,2,2358,3,1721,3,2376,2,2520,2,2736,2,2415,3,3893,8,4826,3,1920,1,7827,8,1862,8,7999,2,5502,8,1624,8,1479,8,2153,1,1792,1,1786,1,1697,8,1975,2,2398,3,2396,3,1872,3,1524,1,1871,3,1420,2,2079,2,1972,3,2204,1,3385,3,1171,1,1237,2,1886,8,2794,2,4203,2,1951,2,1808,2,1652,3,1653,1,1770,3,1449,3,1784,8,1515,1,1621,8,2506,8,2095,1,1329,3,1570,8,1885,2,1524,8,2017,2,1538,2,1431,3,1408,2,1702,1,1882,3,2221,1,1844,8,1399,1,2066,8,2111,1,1718,8,1381,3,2124,2,1396,3,2163,2,1568,3,6262,3,2379,1,1340,3,1352,3,1584,8,2019,3,2532,3,1665,2,2349,1,1470,1,1822,2,2021,2,1900,3,3613,1,3110,2
07.07.2021,12:31,f,21-30,iOS,mehrmals täglich,sicher,0:03:56.424000,94,6,42,3,keine,0:00:17.367000,2755,8,1272,5,4834,3,2941,2,2155,2,3543,3,2907,1,2914,3,2358,2,3140,3,4643,8,4044,1,2097,2,3733,1,3341,3,2515,3,2255,3,4295,8,1854,8,1544,3,2140,2,2096,8,2824,1,1986,2,7643,1,1855,7,1813,3,2765,1,2431,1,1613,8,2330,1,2221,1,1545,8,2857,2,1820,8,2565,8,1655,8,1318,2,2699,8,1845,8,2465,2,2572,3,5196,2,2447,2,1588,1,2673,8,2792,3,4927,8,2439,3,1486,1,2256,8,1995,8,2004,1,2206,2,1713,8,1520,3,1813,8,5337,3,1694,3,1997,3,2447,1,2115,1,2029,4,1496,4,1821,2,1429,1,2154,8,2355,2,1621,2,6049,1,1703,2,1245,1,1537,1,1637,1,2028,2,1407,1,1493,8,1438,3,2403,2,1712,8,2331,8,2105,1,1511,8,2023,2,2087,8,1988,3,1631,3,2504,1,1311,1,1478,4,1838,3,1487,8,1989,2,1941,8,1365,1,3142,1,2021,3,1329,3,1989,3,1936,2
07.07.2021,12:33,m,21-30,iOS,mehrmals täglich,sehr sicher,0:03:16.050000,97,3,42,3,keine,0:00:14.200000,1632,1,1810,3,2090,8,3153,2,2698,2,2827,3,1930,3,1733,2,1801,2,2575,8,2221,1,2219,8,1596,1,2870,1,2782,8,1471,3,1579,8,4360,8,2907,2,1941,7,4126,8,2484,3,2648,8,1822,8,1330,1,1411,1,1465,3,1976,3,1833,1,1829,8,1297,8,1871,8,2012,2,1671,2,2005,8,1913,2,1545,8,1297,8,1810,1,1490,3,1847,1,1642,1,1649,3,2614,1,3425,8,1447,1,1360,3,2690,1,1438,8,2590,8,1381,1,1270,5,2441,3,2546,2,1880,2,1370,2,2698,2,2200,3,1545,2,1603,3,1949,2,2055,8,1572,8,1837,3,1393,3,1231,3,1644,2,1521,3,2155,2,1471,8,1430,3,1790,3,1644,8,2369,4,3154,1,2029,3,1520,2,1367,8,1541,8,2184,3,1678,1,2550,2,2612,8,2635,8,1362,1,1469,8,1336,1,1921,1,1866,8,1951,3,1505,8,1573,1,1895,1,1650,1,1268,1,1471,3,1470,2,1521,1,1766,3,3021,8
07.07.2021,12:47,m,über 60,Android,mehrmals täglich,mittelmäßig,0:04:59.807000,100,0,42,3,keine,0:00:45.388000,3665,2,4577,3,2558,1,3111,8,3520,3,2768,1,2519,1,2309,3,2781,3,4013,3,2273,2,3089,8,2945,8,2884,2,2828,8,3388,8,3383,3,2672,2,2487,2,1999,2,2599,2,3553,3,5651,3,2369,1,2230,2,2771,1,2556,8,3272,1,3981,8,2647,8,2428,2,2788,8,4186,2,3020,1,2630,8,2650,1,3333,1,2985,8,2943,1,2217,1,2546,2,3305,8,3092,2,2826,2,3153,8,2855,8,2645,2,3332,1,2818,2,2541,1,2749,8,2498,8,4820,1,2916,3,2900,1,2296,1,6629,2,3121,3,2179,2,3570,2,4061,1,2940,2,2528,2,2610,1,5778,3,3742,1,4743,2,3104,8,2401,2,1835,8,2388,8,2004,8,3720,2,2522,3,2211,2,2595,1,2269,3,2623,3,2407,8,5055,3,2045,1,2101,2,3175,1,2721,3,2507,3,2397,8,3166,3,2892,8,2304,1,4002,1,2432,1,4861,2,2041,3,2112,3,1986,3,3519,3,2491,3,2581,3,2292,1,2526,8
07.07.2021,13:00,f,21-30,iOS,mehrmals täglich,sehr sicher,0:02:46.730000,99,1,42,3,keine,0:00:16.437000,2280,8,2656,3,2368,8,2072,2,2169,3,2143,2,1970,1,2282,1,2237,8,1493,8,1579,3,1677,3,1563,3,1736,8,1437,1,1402,8,2504,8,1575,3,1829,2,1743,3,1520,8,1361,3,3156,2,1484,2,1435,3,1504,1,1607,8,1369,1,1730,2,1503,3,1375,1,1414,3,1239,8,1687,2,1201,1,1778,8,2570,2,1386,3,1141,3,2254,8,1695,2,1369,1,1709,1,1211,1,1558,1,1554,1,1868,2,1531,2,1875,3,1513,8,1385,2,1669,3,1704,8,2186,1,1793,3,2520,8,1472,2,1309,1,1359,3,1445,8,1376,1,1186,1,1002,1,1044,4,2304,2,1486,2,1669,8,1543,3,1443,2,1894,2,1536,8,1695,3,2023,2,1490,8,1212,1,1302,3,1641,3,1686,3,1194,8,1753,2,1753,2,1518,2,1325,3,1969,1,1761,1,1360,8,1728,8,1059,8,2463,8,1317,3,1620,3,1051,3,1741,3,1730,2,1635,3,2409,2,1027,3,1993,1,1428,2,1201,2
07.07.2021,13:03,f,über 60,Android,mehrmals täglich,sicher,0:03:34.504000,100,0,42,3,keine,0:00:58.448000,2497,1,2586,1,1621,3,1790,2,2542,2,2300,8,2177,2,3042,2,2629,3,1486,3,1588,1,2700,8,1887,2,2318,2,1611,3,2553,1,2387,8,2706,3,2029,3,1728,1,1973,3,1790,1,2505,1,1839,8,3954,1,1555,1,2786,3,1632,8,1776,2,2009,8,2406,8,1912,2,1997,8,1580,3,1922,8,2405,3,2212,3,1582,2,1980,8,2252,8,1767,1,2871,3,1452,3,1464,1,2521,1,2792,1,2097,2,2201,1,2933,3,1772,2,1690,1,1767,3,2211,2,1742,3,3028,8,1511,1,2243,3,2169,2,1747,2,2076,8,1739,1,1859,8,1497,1,2798,1,2083,2,3644,2,1913,3,2780,8,1777,3,1538,8,3682,8,4124,2,1706,2,1671,1,1890,2,1602,1,1661,3,2063,2,1728,1,2367,1,1742,1,1576,2,1949,2,1669,1,3666,2,1735,3,2322,3,1669,1,2026,2,3622,8,1616,2,1859,2,2480,3,1453,3,1721,2,2489,2,2701,2,1925,2,1734,2,1895,2
